biog_main.c_personid	biog_main.c_name_chn	kinship_codes.c_kinrel_chn	newkinship.c_kin_id	newkinship.c_name_chn	newkinship.c_notes
1	<待删除>	子	13311	安邠	
1	<待删除>	子	2	安邡	[待考。《宋史·安惇传》云，惇二子郊、邦。]
2	安邡	父	1	<待删除>	[待考。《宋史·安惇传》云，惇二子郊、邦。]
3	安焘	子	3000	安扶	
3	安焘	父	3001	安日华	
3	安焘	母	39327	张氏(安焘母)	
3	安焘	母	39328	王氏(安焘母)	
3	安焘	妻子	45940	某氏(安焘妻)	
4	查道	父	3002	查元方	
4	查道	子	13316	查冲之	
4	查道	子	119821	查循之	据宋史列传CBDB宋史分传#548
6	柴成务	父	13331	柴自牧	
6	柴成务	子	43275	柴贻范	据宋史列传CBDB宋史分传#662
10	晁谦之	父	3022	晁端仁	
11	晁公武	父	10876	晁冲之	
11	晁公武	兄	10877	晁公休	
11	晁公武	弟	10878	晁公遡	
12	晁公迈	父	3028	晁咏之	
13	晁补之	父	3025	晁端友	
13	晁补之	弟	3029	晁说之	
13	晁补之	弟	45044	晁将之	
13	晁补之	弟	3028	晁咏之	据宋史列传CBDB宋史分传#1683
14	晁端彦	子	3028	晁咏之	
14	晁端彦	子	3029	晁说之	
14	晁端彦	父	7119	晁仲衍	
14	晁端彦	弟	13533	晁端禀	
14	晁端彦	子	13541	晁升之	
15	陈安期	兄	17	陈安石	
15	陈安期	弟	18	陈安道	
15	陈安期	父	67	陈贯	
15	陈安期	兄	3047	陈安定	
15	陈安期	弟	34100	陈安礼	
16	陈安民	父	11650	陈赓	
17	陈安石	弟	15	陈安期	
17	陈安石	弟	18	陈安道	
17	陈安石	父	67	陈贯	
17	陈安石	弟	3047	陈安定	
17	陈安石	妻子	5380	王氏(陈安石妻)	
17	陈安石	弟	34100	陈安礼	
18	陈安道	兄	15	陈安期	
18	陈安道	兄	17	陈安石	
18	陈安道	父	67	陈贯	
18	陈安道	兄	3047	陈安定	
18	陈安道	弟	34100	陈安礼	
22	陈求道	父	61	陈康民	
