newassoc.c_personid	biog_main.c_name_chn	assoc_codes.c_assoc_desc_chn	newassoc.perid	newassoc.c_name_chn	newassoc.c_assoc_year	newassoc.c_notes	newassoc.c_text_title
3	安燾	友	333	章惇	0		[n/a]
141	喬維岳	友	22273	韋襄			[n/a]
209	張巨	友	461	蔣之奇	1102		[n/a]
209	張巨	友	833	胡宗愈	1102		[n/a]
209	張巨	友	3849	丁隲	1102		[n/a]
211	張浚	友	19206	馮汝舟	1164		[n/a]
237	張徽	友	559	范純仁	1066		[n/a]
237	張徽	友	1488	司馬光	1066		[n/a]
268	張佖	友	1226	劉式	994		[n/a]
272	張商英	友	41409	吳與		故人張天覺當國，或諷之使見。與曰：「平生與天覺語皆忠義，反呈身于進乎？」卒不往。	故人張天覺當國，或諷之使見。與曰：「平生與天覺語皆忠義，反呈身于進乎？」卒不往。
332	張詠	友	898	寇準		恩威並用 蜀民畏而愛之 詠與寇準最善 每面折準過 雖貴不改	恩威並用 蜀民畏而愛之 詠與寇準最善 每面折準過 雖貴不改
333	章惇	友	3	安燾	0		[n/a]
333	章惇	友	47707	陳大卞		治平四年進士 為威武軍僉判、知江寧縣 與章惇有舊 惇當國 屢招不往	治平四年進士 為威武軍僉判、知江寧縣 與章惇有舊 惇當國 屢招不往
375	趙抃	友	13213	毛維瞻	0	與趙抃同邑相得，為山林之樂。	與趙抃同邑相得，為山林之樂。
375	趙抃	友	17517	俞汝尚	1079		[n/a]
375	趙抃	友	22106	聞人安道		通判歙州 官至職方郎中知南康軍 與趙抃、司馬光、蘇軾交善	通判歙州 官至職方郎中知南康軍 與趙抃、司馬光、蘇軾交善
375	趙抃	友	42607	周圻			[n/a]
375	趙抃	友	43107	周穎			[n/a]
395	趙鼎臣	友	1762	王安石		官至太府卿 有竹隱畸士集 鼎臣與蘇軾、王安石諸人交好 相與酬和 故所作具有門徑	官至太府卿 有竹隱畸士集 鼎臣與蘇軾、王安石諸人交好 相與酬和 故所作具有門徑
405	折彥質	友	38296	王公輔	0		[n/a]
455	姜仲謙	友	8004	陳與義		詵父 仕終廣東運副 建炎間與任才仲、陳與義會飲岳陽樓上 賦詩以記 仲謙有文名	詵父 仕終廣東運副 建炎間與任才仲、陳與義會飲岳陽樓上 賦詩以記 仲謙有文名
461	蔣之奇	友	209	張巨	1103		[n/a]
461	蔣之奇	友	833	胡宗愈	1103		[n/a]
461	蔣之奇	友	3849	丁隲	1103		[n/a]
465	蔣堂	友	53537	釋惟政		師惟素禪師 住杭州功臣山淨土院 蔣堂守錢塘 與為方外友 稱致甚高	師惟素禪師 住杭州功臣山淨土院 蔣堂守錢塘 與為方外友 稱致甚高
470	金君卿	友	15439	程禦	1075		[n/a]
504	周敦頤	友	902	孔延之	1073		[n/a]
504	周敦頤	友	42605	周文敏			[n/a]
548	鍾正甫	友	3676	米芾	1111		[n/a]
559	范純仁	友	237	張徽	1095		[n/a]
559	范純仁	友	3723	施大任			[n/a]
628	富弼	友	44012	段希元			[n/a]
634	韓縝	友	15598	俞康直	1080		[n/a]
636	韓絳	友	11623	汪宗顏	1076		[n/a]
648	韓璜	友	714	向子忞	1160		[n/a]
648	韓璜	友	3402	胡寅	1160		[n/a]
